"CASE NUMBER: CL-2019-2911 -Â JOHN C. DEPP, II V. AMBER LAURA HEARD",,
Date,Documents,PDF
09/09/2021,"Order Dated September 9, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-9-9-2021.pdf"" target=""_blank"">View</a>"
09/08/2021,"Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-ime-praecipe-9-8-2021.pdf"" target=""_blank"">View</a>"
09/08/2021,"Defendant's Memorandum in Support of Motion to Certify","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-memo-certify-08172021-order-9-8-2021.pdf"" target=""_blank"">View</a>"
09/08/2021,"Defendant's Motion to Certify","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-def-mot-certify-08172021-order-9-8-2021.pdf"" target=""_blank"">View</a>"
09/03/2021,"Plaintiff's Motion to Compel Praecipe","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-plaintiff-mot-compel-ime-praecipe-9-3-2021.pdf"" target=""_blank"">View</a>"
08/30/2021,"Order Dated August 30, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-calendar-control-order-8-30-2021.pdf"" target=""_blank"">View</a>"
08/19/2021,"Order Dated August 19, 2021","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-order-8-19-2021.pdf"" target=""_blank"">View</a>"
08/17/2021,"Opinion Letter","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/Opinions/cl-2019-2911-depp-II-v-heard-08172021.pdf"" target=""_blank"">View</a>"
08/06/2021,"Consent Order Respecting Plaintiff's Responses to Defendant's Tenth Request for Documents","<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/cl-2019-2911-consent-order-8-6-2021.pdf"" target=""_blank"">View</a>"
08/06/2021,Praecipe,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-praecipe-8-6-2021.pdf"" target=""_blank"">View</a>"
07/30/2021,Praecipe,"<a href=""/circuit/sites/circuit/files/Assets/Documents/PDF/High-Profile/Depp%20v%20Heard/CL-2019-2911-praecipe-7-30-2021.pdf"" target=""_blank"">View</a>"
